name,line_num,lat,lng,ride,alight 
뚝섬,2호선,37.547184,127.047367,447897,472943
성수,2호선,37.544581,127.055961,762555,826779
건대입구,2호선,37.540693,127.07023,1306388,1430594
구의(광진구청),2호선,37.537077,127.085916,699812,687794
강변(동서울터미널),2호선,37.535095,127.094681,1431152,1428613
잠실나루,2호선,37.520733,127.10379,501846,479819
잠실(송파구청),2호선,37.51395,127.102234,2600187,2403559
서울역,경의선,37.556328,126.969522,79387,93347
신촌,경의선,37.559783,126.942319,21408,27711
효창공원앞,경의선,37.539261,126.961351,56312,60925
공덕,경의선,37.544018,126.951592,62067,62459
서강대,경의선,37.551881,126.935711,59645,59235
홍대입구,경의선,37.557192,126.925381,46785,68686
가좌,경의선,37.568491,126.915487,123861,115923
디지털미디어시티,경의선,37.576646,126.900984,63861,57821
수색,경의선,37.580842,126.895611,64718,69933
개봉,경인선,37.494594,126.85868,684027,690152
오류동,경인선,37.494526,126.845365,348094,322852
잠실새내,2호선,37.511687,127.086162,769392,777673
종합운동장,2호선,37.510997,127.073642,343627,379628
삼성(무역센터),2호선,37.508844,127.06316,1624693,1675417
선릉,2호선,37.504503,127.049008,1584687,1353254
역삼,2호선,37.500622,127.036456,1345760,1464592
강남,2호선,37.497175,127.027926,3132733,3136516
교대(법원.검찰청),2호선,37.493415,127.01408,1044429,1174994
서초,2호선,37.491897,127.007917,633475,632093
방배,2호선,37.481426,126.997596,552068,554332
사당,2호선,37.47653,126.981685,1192794,1373094
낙성대,2호선,37.47693,126.963693,875452,845164
서울대입구(관악구청),2호선,37.481247,126.952739,1503092,1474642
봉천,2호선,37.482362,126.941892,667918,619021
신림,2호선,37.484201,126.929715,2077880,2045679
신대방,2호선,37.487462,126.913149,819174,777840
구로디지털단지,2호선,37.485266,126.901401,1844272,1845548
대림(구로구청),2호선,37.49297,126.895801,896269,928249
신도림,2호선,37.508725,126.891295,1779023,1766100
문래,2호선,37.517933,126.89476,542143,550035
영등포구청,2호선,37.52497,126.895951,616280,618423
당산,2호선,37.53438,126.902281,584639,657736
합정,2호선,37.549463,126.913739,951227,983879
홍대입구,2호선,37.557192,126.925381,2386717,2529404
신촌,2호선,37.555134,126.936893,1457840,1478347
이대,2호선,37.556733,126.946013,509577,535006
아현,2호선,37.557345,126.956141,268662,255805
구일,경인선,37.496756,126.870793,217802,230323
온수(성공회대입구),경인선,37.492258,126.823388,190271,184866
신내,경춘선,37.612887,127.103218,18561,19345
충정로(경기대입구),2호선,37.559973,126.963672,329136,349715
용답,2호선,37.561904,127.050899,72369,72131
신답,2호선,37.57004,127.046481,36404,42144
신설동,2호선,37.575297,127.025087,114832,109228
도림천,2호선,37.514287,126.882768,28062,31901
양천구청,2호선,37.512398,126.865819,202328,211897
신정네거리,2호선,37.520074,126.852912,287781,293950
용두(동대문구청),2호선,37.574028,127.038091,68218,70762
구파발,3호선,37.636763,126.918821,585343,519189
연신내,3호선,37.619001,126.921008,1221812,1165910
불광,3호선,37.610469,126.929887,556052,609596
녹번,3호선,37.600927,126.935756,377777,328163
홍제,3호선,37.589066,126.943736,567213,538301
무악재,3호선,37.582299,126.95029099999999,121070,120184
독립문,3호선,37.574571,126.957748,212410,216567
경복궁(정부서울청사),3호선,37.575762,126.97353,657969,678611
안국,3호선,37.576477,126.985443,712204,749687
종로3가,3호선,37.571607,126.991806,253886,331346
을지로3가,3호선,37.566295,126.99191,260179,296064
충무로,3호선,37.561243,126.99428,51,0
동대입구,3호선,37.559052,127.005602,319305,350666
