traffic,area,year_built,price
19078325,21.05,2011,15000
13062343,26.52,2002,9500
13062343,35.24,1990,9400
13062343,25.2,1990,7500
13062343,37.35,2004,17700
13062343,26.51,1992,11200
13062343,30.06,1992,13050
13062343,31.14,1992,12650
10235092,29.88,2015,24000
10235092,29.97,2013,23300
10235092,24.75,2013,17400
10235092,30.0,2013,20000
10235092,26.82,2013,18500
10235092,29.96,2013,19400
10235092,26.82,2013,17400
10235092,29.96,2013,19000
10235092,24.66,2013,17514
10235092,48.96,2016,32000
50716848,52.43,1999,25500
50716848,44.49,2003,19000
7010304,16.68,2002,8000
50716848,35.59,2004,23500
50716848,43.05,2004,30000
5874855,36.94,1999,21500
5874855,31.35,2001,25500
5874855,36.69,1999,16500
50716848,92.75,2005,79200
50716848,32.4,2001,16400
50716848,69.18,2013,53000
7010304,36.15,2003,20500
10829455,45.82,2005,42700
10829455,50.76,2005,43800
10829455,54.39,2005,45000
10829455,54.39,2005,45500
10829455,34.02,2004,23000
10829455,34.87,2004,22000
0,21.77,2013,20000
0,24.42,2013,25300
10766245,113.0,2004,64000
10766245,48.06,2004,17000
10766245,43.17,2004,16500
10766245,43.17,2004,15500
10766245,94.57,2006,69800
10766245,99.21,2004,74500
10766245,18.13,2015,14300
10766245,18.13,2015,15000
7854847,30.71,2003,14500
7854847,26.0,2004,16200
10766245,94.57,2001,51500
7854847,51.85,1999,19000
7854847,38.07,1999,14600
7854847,33.88,2004,18450
7854847,33.88,2004,22300
7854847,33.88,2004,18470
7854847,33.88,2004,18300
0,26.94,2004,7800
24893071,51.92,2003,18200
0,97.79,2004,32600
6971692,33.6,2003,15350
6971692,73.87,2003,31500
419741,64.43,2004,31500
6170311,27.54,1993,7500
28205954,30.85,2004,15500
28205954,30.85,2004,14300
28205954,30.85,2004,14750
28205954,45.7,2004,24450
28205954,47.63,2005,23800
28205954,29.23,2005,17200
28205954,23.92,2015,21000
28205954,28.24,2014,21000
32691414,60.0,2007,30000
7645246,29.38,2004,14500
26283341,87.22,2006,37500
26283341,62.42,2006,35800
26283341,62.34,2006,35800
26283341,35.78,2004,17000
7645246,114.63,2007,51000
7645246,117.73,2007,57300
7645246,138.28,2007,64850
419741,25.93,2004,10500
419741,25.93,2004,11000
419741,25.93,2004,10300
419741,25.93,2004,10700
7645246,56.87,2004,31000
7645246,88.3,2005,38600
7645246,65.22,2005,33500
7645246,78.98,2005,28000
30578576,27.54,2000,12500
30578576,17.67,2013,12900
10766245,16.98,2004,9000
10766245,16.98,2004,8800
10766245,26.38,2004,11600
10766245,16.98,2004,8800
10766245,16.98,2004,8800
10766245,16.98,2004,8950
10766245,16.98,2004,8300
10766245,16.98,2004,8700
10766245,16.98,2004,8600
10766245,26.38,2004,12450
10766245,16.98,2004,9200
419741,18.18,2014,12600
419741,18.96,2014,12500
419741,18.18,2014,11450
419741,18.18,2014,12400
419741,18.96,2014,12600
419741,18.18,2014,12600
419741,97.11,2005,37300
419741,72.13,2005,31400
419741,97.11,2005,37250
419741,88.61,2005,34200
419741,86.21,2005,36000
28205954,94.1,2005,38500
44696778,40.22,2002,29000
44696778,40.39,2000,18000
6170311,39.12,2003,22100
6170311,36.53,2003,19200
6170311,36.53,2003,19000
6170311,88.7,2006,67000
44696778,34.94,2003,24000
6170311,87.88,2005,45000
6170311,65.23,2005,45000
6170311,87.88,2005,48000
44696778,50.02,1994,16400
30578576,20.27,2012,11100
30578576,19.08,2003,12000
30578576,19.08,2003,12000
30578576,19.08,2003,12000
30578576,20.67,2003,12000
30578576,19.08,2003,12000
30578576,19.08,2003,12000
30578576,20.67,2003,12000
30578576,20.67,2003,12000
30578576,20.14,2003,12000
30578576,19.08,2003,12000
30578576,19.08,2003,12000
30578576,19.08,2003,12000
30578576,20.67,2003,12000
30578576,19.08,2003,12000
30578576,19.08,2003,12000
30578576,19.08,2003,12000
30578576,20.67,2003,12000
30578576,20.14,2003,12000
30578576,19.08,2003,12000
30578576,19.08,2003,12000
30578576,19.08,2003,12000
30578576,20.14,2003,12000
30578576,19.08,2003,12000
30578576,19.08,2003,12000
30578576,19.08,2003,12000
30578576,20.67,2003,12000
30578576,20.14,2003,12000
30578576,19.08,2003,12000
30578576,19.08,2003,12000
30578576,19.08,2003,12000
30578576,20.67,2003,12000
30578576,20.67,2003,12000
30578576,20.14,2003,12000
30578576,19.08,2003,12000
30578576,19.08,2003,12000
30578576,19.08,2003,12000
30578576,20.67,2003,12000
30578576,20.67,2003,12000
30578576,20.67,2003,12000
30578576,20.14,2003,12000
7645246,48.29,2013,39200
6170311,24.69,2002,8300
6170311,26.64,2002,8500
6170311,25.81,2002,8200
28205954,19.86,2014,14400
28205954,19.86,2014,14000
10659817,34.11,2004,21750
10659817,28.23,2004,16800
10659817,68.41,2007,43000
10659817,46.29,2007,34750
10659817,46.29,2007,35200
52872988,27.95,2004,22750
52872988,28.79,2004,24800
10659817,25.19,2004,15000
10659817,25.19,2004,16700
0,38.12,2003,12800
10659817,33.6,2005,28000
10659817,37.26,2005,30000
10659817,36.13,2005,27800
26586861,49.85,2012,48500
26586861,49.98,2012,50500
26586861,35.28,2004,19900
26586861,30.35,2005,21900
26586861,30.29,2005,24300
52872988,34.38,1990,13500
52872988,34.38,1990,12800
4941580,59.89,2011,22000
4941580,20.51,2003,11900
4941580,20.36,2003,12000
0,12.63,2003,7200
11669070,38.9,2014,18000
11669070,18.84,2014,9900
5176822,57.86,2008,17500
8746227,33.97,2002,12000
4941580,38.54,2002,12000
8746227,17.05,2002,7300
8746227,31.06,2003,11800
0,24.91,2013,15000
0,29.79,2013,16400
0,23.19,2015,14100
0,31.05,1989,12000
111820366,28.69,2004,15000
9356060,32.43,2004,28000
9356060,37.56,2004,28800
9356060,33.0,2004,25800
9356060,37.56,2004,28100
9356060,58.92,2004,41500
111820366,40.96,1991,17300
9356060,39.54,2008,33000
25951072,39.6,2004,25000
17130211,24.65,2013,13500
17130211,22.44,2013,12500
17130211,22.44,2013,12000
41887111,43.83,2005,38000
41887111,43.83,2005,38000
10233237,26.52,2001,15000
25951072,21.49,2014,17500
41887111,36.23,2007,30500
41887111,45.41,2007,37000
25951072,30.84,1996,11500
25951072,30.84,1996,12000
0,23.4,2003,9150
10233237,32.27,2003,15800
57244565,26.22,1999,12000
57244565,42.56,1999,15500
57244565,22.14,1999,9700
52872988,27.7,2005,21000
52872988,27.74,2005,20000
41887111,41.14,2016,35300
57244565,37.58,2006,28000
57244565,25.49,2005,17000
57244565,20.18,2004,12800
57244565,19.92,2004,14000
57244565,21.49,2003,11300
57244565,43.88,2003,22800
41887111,126.59,2003,48000
41887111,29.48,2005,20800
41887111,68.04,2006,44000
111820366,37.07,2016,31000
21083335,22.52,2014,16200
21083335,23.82,2004,15500
21083335,25.05,2004,12700
57244565,22.33,2013,16350
57244565,19.92,2014,16500
57244565,59.91,2014,42388
57244565,79.25,2014,54976
15214150,18.03,2012,9500
7765282,59.28,2008,26500
7765282,59.29,2008,27000
15214150,28.18,2002,7500
15214150,25.76,2002,7300
15214150,17.01,2013,8900
7765282,32.48,2003,13000
7765282,30.88,2003,14300
7952091,38.7,2003,15500
6787725,22.21,2012,10800
