lat,lng,traffic
37.5786191579,127.108270053,0.0
37.5786191579,127.088887737,1255306.0
37.5786191579,127.069505421,0.0
37.5786191579,127.050123105,2665879.0
37.5786191579,127.030740789,2447173.0
37.5786191579,127.011358474,3707296.0
37.5786191579,126.991976158,1461891.0
37.5786191579,126.972593842,1336580.0
37.5786191579,126.953211526,670231.0
37.5786191579,126.933829211,0.0
37.5786191579,126.914446895,587833.0
37.5786191579,126.895064579,1753008.0
37.5786191579,126.875682263,0.0
37.5786191579,126.856299947,0.0
37.5786191579,126.836917632,0.0
37.5786191579,126.817535316,416015.0
37.5786191579,126.798153,292748.0
37.5909184737,127.166417,0.0
37.5909184737,127.147034684,0.0
37.5909184737,127.127652368,0.0
37.5909184737,127.108270053,0.0
37.5909184737,127.088887737,2173450.0
37.5909184737,127.069505421,969675.0
37.5909184737,127.050123105,1544059.0
37.5909184737,127.030740789,1170210.0
37.5909184737,127.011358474,2725475.0
37.5909184737,126.991976158,0.0
37.5909184737,126.972593842,0.0
37.5909184737,126.953211526,1105514.0
37.5909184737,126.933829211,0.0
37.5909184737,126.914446895,739546.0
37.5909184737,126.895064579,0.0
37.5909184737,126.875682263,0.0
37.5909184737,126.856299947,0.0
37.5909184737,126.836917632,0.0
37.5909184737,126.817535316,0.0
37.5909184737,126.798153,0.0
37.6032177895,127.166417,0.0
37.6032177895,127.147034684,0.0
37.6032177895,127.127652368,0.0
37.6032177895,127.108270053,90308.0
37.6032177895,127.088887737,1109326.0
37.6032177895,127.069505421,524367.0
37.6032177895,127.050123105,1002291.0
37.6032177895,127.030740789,1451904.0
37.6032177895,127.011358474,0.0
37.6032177895,126.991976158,0.0
37.6032177895,126.972593842,0.0
37.6032177895,126.953211526,0.0
37.6032177895,126.933829211,705940.0
37.6032177895,126.914446895,1249461.0
37.6032177895,126.895064579,0.0
37.6032177895,126.875682263,0.0
37.6032177895,126.856299947,0.0
37.6032177895,126.836917632,0.0
37.6032177895,126.817535316,0.0
37.6032177895,126.798153,0.0
37.6155171053,127.166417,0.0
37.6155171053,127.147034684,0.0
37.6155171053,127.127652368,0.0
37.6155171053,127.108270053,37906.0
37.6155171053,127.088887737,1136013.0
37.6155171053,127.069505421,2759006.0
37.6155171053,127.050123105,517687.0
37.6155171053,127.030740789,1870189.0
37.6155171053,127.011358474,0.0
37.6155171053,126.991976158,0.0
37.6155171053,126.972593842,0.0
37.6155171053,126.953211526,0.0
37.6155171053,126.933829211,1667010.0
37.6155171053,126.914446895,2789993.0
37.6155171053,126.895064579,0.0
37.6155171053,126.875682263,0.0
37.6155171053,126.856299947,0.0
37.6155171053,126.836917632,0.0
37.6155171053,126.817535316,0.0
37.6155171053,126.798153,0.0
37.6278164211,127.166417,0.0
37.6278164211,127.147034684,0.0
37.6278164211,127.127652368,0.0
37.6278164211,127.108270053,0.0
37.6278164211,127.088887737,0.0
37.6278164211,127.069505421,1191728.0
37.6278164211,127.050123105,261628.0
37.6278164211,127.030740789,1025652.0
37.6278164211,127.011358474,0.0
37.6278164211,126.991976158,0.0
37.6278164211,126.972593842,0.0
37.6278164211,126.953211526,0.0
37.6278164211,126.933829211,0.0
37.6278164211,126.914446895,0.0
37.6278164211,126.895064579,0.0
37.6278164211,126.875682263,0.0
37.6278164211,126.856299947,0.0
