lat,lng,area,year_bulit,price
37.5560276,126.8537321,17.34,2013,10400
37.5560276,126.8537321,18.24,2013,10800
37.5608754,126.8545413,27.29,2004,16900
37.5574325,126.8614101,28.45,2004,16000
37.5588031,126.8400452,38.98,2003,13600
37.5514872,126.8649618,70.18,2004,22000
37.5514872,126.8649618,40.37,2004,16200
37.5514872,126.8649618,36.99,2004,15000
37.5522529,126.8632627,31.54,2004,14300
37.5633979,126.8402078,85.18,2005,31000
37.566391,126.840203,17.96,2015,11500
37.5623635,126.8079542,21.42,2001,7100
37.5765304,126.8130179,16.29,2003,6050
37.5765304,126.8130179,24.9,2003,8600
37.5765304,126.8130179,16.29,2003,6350
37.5765304,126.8130179,16.29,2003,6400
37.5781365,126.8136275,17.64,2003,7200
37.5723625,126.8069141,28.03,2003,11300
37.5723625,126.8069141,28.03,2003,10800
37.563641,126.8069357,19.2,2003,8100
37.5475113,126.87751,15.04,2012,14000
37.5302333,126.8453337,30.0,1998,8600
37.5296441,126.842726,19.12,2013,7000
37.5296441,126.842726,19.12,2013,7000
37.5296441,126.842726,19.94,2013,7000
37.5296441,126.842726,19.12,2013,7000
37.5296441,126.842726,18.14,2013,6500
37.5296441,126.842726,19.12,2013,7000
37.5296441,126.842726,19.94,2013,7000
37.5296441,126.842726,19.12,2013,7000
37.5296441,126.842726,19.94,2013,7000
37.5296441,126.842726,19.12,2013,7000
37.5296441,126.842726,19.94,2013,6700
37.5296441,126.842726,19.94,2013,7000
37.5296441,126.842726,18.14,2013,6300
37.5296441,126.842726,19.94,2013,6500
37.5296441,126.842726,19.12,2013,6500
37.5296441,126.842726,19.12,2013,6500
37.5296441,126.842726,19.12,2013,7000
37.5296441,126.842726,18.14,2013,6500
37.5546927,126.8528761,18.97,2012,10000
37.5546927,126.8528761,18.97,2012,9950
37.5460393,126.8461204,34.83,1995,6200
37.5414539,126.8422672,21.26,2013,10000
37.529374,126.8432915,65.0,2008,15000
37.4745053,126.9813755,25.05,2005,17400
37.4745053,126.9813755,26.18,2005,18300
37.4745053,126.9813755,27.15,2005,17700
37.476132,126.9785635,16.1,2002,12000
37.4788466,126.9581507,15.9,2003,12400
37.4788466,126.9581507,15.9,2003,13000
37.4835428,126.9556567,23.36,2003,8900
37.4835428,126.9556567,19.25,2003,8350
37.4799332,126.9517972,19.06,2012,13500
